QCode,Title,link,level,statement,Author,Tester,Editorial,Tags,Date Added,Time Limit,Source Limit,Languages
JABO,Jam Board,/problems/JABO,medium,"
All submissions for this problem are available.

Jimmy is a very studious and obedient boy. He has recently joined Digital Circuits Course in his school. He is absolutely fascinated by digital circuits, and stays back in lab after school hours to make circuits. What interests him is plugging wires and voltage sources on Jam Board and then lighting up an LED.A Jam Board is a large plastic board, with lots of holes in it. The holes are arranged as following-",vinayak garg,laycurse,http://discuss.codechef.com/problems/JABO,"['garg', 'disjoint-set', 'nov12', 'vinayak', 'medium']",            6-09-2012</td>        <,            0.5 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
HOMDEL,Delivery Boy,/problems/HOMDEL,easy,"

                    function formatTime(ts) {
                      now = new Date(ts);

                      localtime = new Date();
                      hour = now.getHours();
                      min = now.getMinutes();
                      sec = now.getSeconds();

                      if (min <= 9) {
                        min = ""0"" + min;
                      }
                      if (sec <= 9) {
                        sec = ""0"" + sec;
                      }
                      if (hour > 12) {
                        hour = hour - 12;
                        add = "" PM"";
                      } else {
                        hour = hour;
                        add = "" AM"";
                      }
                      if (hour == 12) {
                        add = "" PM"";
                      }
                      if (hour == 00) {
                        hour = ""12"";
                      }

                      $('#server-time').html(((hour<=9) ? ""0"" + hour : hour) + "":"" + min + "":"" + sec + add);

                      nextSec = (now.getTime() + 1000);

                      setTimeout(""formatTime(""+nextSec+"")"", 1000);
                    }
                    function getDtTimeZone()
                    {
                      var rightNow = new Date();
                      var toDay = new Date(rightNow.getFullYear(), 0, 1, 0, 0, 0, 0);
                      var temp = toDay.toGMTString();
                      var date2 = new Date(temp.substring(0, temp.lastIndexOf("" "") -1));
                      var stdTime = (toDay - date2) / (1000 * 60 * 60);
                      return stdTime;
                    }
/*var d=new Date();
$.ajax({
url: '/umtza',
type:'POST',
data: 'umtza='+d.toString(),
});
*/

CodeChef is a non-commercial competitive programming community




About CodeChef
About Directi
CEO's Corner
C-Programming
Programming Languages
Contact Us


© 2009 Directi Group.  All Rights Reserved.  CodeChef uses SPOJ © by Sphere Research Labs
In order to report copyright violations of any kind, send in an email to copyright@codechef.com



The time now is: 

        formatTime('September 01, 2014 16:46:08');
      




    var _gaq = _gaq || [];
    _gaq.push(['_setAccount', 'UA-53602-42']);
    _gaq.push(['_trackPageview']);

    (function() {
      var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true;
      ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js';
      var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s);
    })();

  


    /* <![CDATA[ */
    var google_conversion_id = 1066618556;
    var google_conversion_language = ""en"";
    var google_conversion_format = ""3"";
    var google_conversion_color = ""666666"";
    var google_conversion_label = ""gbUUCPTlhAIQvJ3N_AM"";
    var google_conversion_value = 0;
    /* ]]> */
  









    /* <![CDATA[ */
    var google_conversion_id = 968176136;
    var google_conversion_language = ""en"";
    var google_conversion_format = ""3"";
    var google_conversion_color = ""ffffff"";
    var google_conversion_label = ""iDk7CPDZ7wMQiOTUzQM"";
    var google_conversion_value = 0;
    /* ]]> */
  








CodeChef - A Platform for Aspiring Programmers
CodeChef was created as a platform to help programmers make it big in the world of algorithms, computer programming and programming contests. At CodeChef we work hard to revive the geek in you by hosting a programming contest at the start of the month and another smaller programming challenge in the middle of the month. We also aim to have training sessions and discussions related to algorithms, binary search, technicalities like array size and the likes. Apart from providing a platform for programming competitions, CodeChef also has various algorithm tutorials and forum discussions to help those who are new to the world of computer programming.

Practice Section - A Place to hone your 'Computer Programming Skills'
Try your hand at one of our many practice problems and submit your solution in a language of your choice. Our programming contest judge accepts solutions in over 35+ programming languages. Preparing for coding contests were never this much fun! Receive points, and move up through the CodeChef ranks. Use our practice section to better prepare yourself for the multiple programming challenges that take place through-out the month on CodeChef. 

Compete - Monthly Programming Contests and Cook-offs
Here is where you can show off your computer programming skills. Take part in our 10 day long monthly coding contest and the shorter format Cook-off coding contest. Put yourself up for recognition and win great prizes. Our programming contests have prizes worth up to Rs.20,000 and $700lots more CodeChef goodies up for grabs. 

Discuss
Are you new to computer programming? Do you need help with algorithms? Then be a part of CodeChef's Forums and interact with all our programmers - they love helping out other programmers and sharing their ideas. Have discussions around binary search, array size, branch-and-bound, Dijkstra's algorithm, Encryption algorithm and more by visiting the CodeChef Forums and Wiki section.

CodeChef Community
As part of our Educational initiative, we give institutes the opportunity to associate with CodeChef in the form of Campus Chapters. Hosting online programming competitions is not the only feature on CodeChef. You can also host a coding contest for your institute on CodeChef, organize an algorithm event and be a guest author on our blog. 

Go For Gold
The Go for Gold Initiative was launched about a year after CodeChef was incepted, to help prepare Indian students for the ACM ICPC World Finals competition. In the run up to the ACM ICPC competition, the Go for Gold initiative uses CodeChef as a platform to train students for the ACM ICPC competition via multiple warm up contests. As an added incentive the Go for Gold initiative is also offering over Rs.8 lacs to the Indian team that beats the 29th position at the ACM ICPC world finals. Find out more about the Go for Gold and the ACM ICPC competition here.
 ",vamsi_kavala,laycurse,http://discuss.codechef.com/problems/HOMDEL,"['shortest-path', 'aug12', 'vamsi_kavala']",            1-07-2012</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
FAULT,Fault Tolerance,/problems/FAULT,challenge,"
All submissions for this problem are available.
Chef has a set of very large set of very important data he doesn't want to lose. Chef has a number of servers on which he stores the data. To store the data, Chef begins by splitting his data into chunks. Then he assigns a set of chunks to each server. For the sake of redundancy, the same chunk may be assigned to multiple servers. If multiple chunks are assigned to the same server, there will not be enough space to store all of the chunks individually, so instead the chunks are combined together. When multiple chunks are combined together it is no longer possible to retrieve the data from the original chunks. However, by combining data from multiple servers it may be possible to retrieve the original data.
Denote A ⊕ B as the result of combining chunks A and B. The following properties hold:

A ⊕ B = B ⊕ A
(A ⊕ B) ⊕ C = A ⊕ (B ⊕ C)
(A ⊕ A) ⊕ B = B

Note that the first two properties imply that when combining more than two chunks, the order in which they are combined does not matter.
Let's consider an example (this example will coincide with the sample input below). There are 4 chunks of data, and 6 servers. Denote Ci (0 ≤ i < 4) as the original chunks of data, and Sj (0 ≤ j < 6) as the data stored on the servers. Chef combines chunks as follows:

S0 = C2
S1 = C0 ⊕ C3
S2 = C0 ⊕ C2
S3 = C1 ⊕ C3
S4 = C0 ⊕ C1 ⊕ C2
S5 = C0 ⊕ C1

One way Chef may recover the original data is as follows:

C0 = S0 ⊕ S2
C1 = S2 ⊕ S4
C2 = S0
C3 = S2 ⊕ S3 ⊕ S4


Chef is now interested in how safe his data is. If the data from some servers is lost it may be impossible to recover the original data. Chef would like you to find a set of servers such that simultaneous failure would make some part of his data irrecoverable. Chef prefers that you find a small set of servers, but does not require minimality. Smaller sets will score more points.
Input
Each test file contains only one test case.
The first line of input contains 2 space-separated integers N and S, denoting the number of chunks and number of servers, respectively. Then S lines follow, each with a description of the chunks stored on one server. A server description consists of an integer C denoting the number of chunks assigned to this server, followed by C integers denoting the ids of the chunks assigned to this server. Chunks are numbered from 0 to N−1 and servers numbered 0 to S−1.
Output
First output an integer K, the number of failing servers in your solution. Then output the distinct ids of the failing servers.
Constraints

50 ≤ N ≤ 200
2*N ≤ S ≤ 1000
1 ≤ C ≤ N
Each server stores distinct chunks.
Chef can recover the original data if no servers are lost.
All official test files are generated by the method written in Test Case Generation.

Note that the following Sample Input does not satisfy the constraints.
Scoring
Your score for each test file is 10*K/(S−N+1). The total score is the average of scores over all test files. The goal is to minimize your score.
Example

Input:
4 6
1 2
2 0 3
2 0 2
2 1 3
3 0 1 2
2 0 1

Output:
1
2
Explanation
This sample output would score 10*1/(6−4+1) = 3.333.... If server 2 is lost, there is no way to recover data chunks 0, 1, or 3.
Test Case Generation
The judge has 40 official test files.
An integer N is chosen randomly and uniformly between 50 and 200, inclusive. Then an integer S is chosen randomly and uniformly between 2*N and 1000, inclusive. A real number P is chosen randomly and uniformly between 0.3 and 0.8, inclusive, and each chunk is assigned to each server with probability P. The order of the chunks assigned to each server is shuffled.
If a generated test does not satisfy the constraints, then the test is discarded.
",pieguy,laycurse,http://discuss.codechef.com/problems/FAULT,"['april13', 'pieguy', 'challenge', 'bitwise', 'gauss-elim']",            7-02-2013</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
ORDERS,Ordering the Soldiers,/problems/ORDERS,hard,"
All submissions for this problem are available.
In Byteland it is always the military officer's main worry to order his soldiers on parade correctly. Luckily, ordering soldiers is not really such a problem. If a platoon consists of n men, all of them have different rank (from 1 - lowest to n - highest) and on parade they should be lined up from left to right in increasing order of rank.


Sounds simple, doesn't it? Well, Sgt Johnny thought the same, until one day he was faced with a new command. He soon discovered that his elite commandos preferred to do the fighting, and leave the thinking to their superiors. So, when at the first rollcall the soldiers lined up in fairly random order it was not because of their lack of discipline, but simply because they couldn't work out how to form a line in correct order of ranks. Sgt Johnny was not at all amused, particularly as he soon found that none of the soldiers even remembered his own rank. Over the years of service every soldier had only learned which of the other soldiers were his superiors. But Sgt Johnny was not a man to give up easily when faced with a true military challenge. After a moment's thought a solution of brilliant simplicity struck him and he issued the following order: ""men, starting from the left, one by one, do: (step forward; go left until there is no superior to the left of you; get back in line)."". This did indeed get the men sorted in a few minutes. The problem was solved... for the time being.


The next day, the soldiers came in exactly the same order as the day before, and had to be rearranged using the same method. History repeated. After some weeks, Sgt Johnny managed to force each of his soldiers to remember how many men he passed when going left, and thus make the sorting process even faster.


If you know how many positions each man has to walk to the left, can you try to find out what order of ranks the soldiers initially line up in?
Input
The first line of input contains an integer t<=50, the number of test cases. It is followed by t test cases, each consisting of 2 lines. The first line contains a single integer n (1<=n<=200000). The second line contains n space separated integers wi, denoting how far the i-th soldier in line must walk to the left when applying Sgt Johnny's algorithm.
Output
For each test case, output a single line consisting of n space separated integers - the ranks of the soldiers, given from left to right in their initial arrangement.
Example

Input:
2
3
0 1 0
5
0 1 2 0 1

Output:
2 1 3
3 2 1 5 4
Warning: large Input/Output data, be careful with certain languages
",admin,,,['admin'],            1-12-2008</td>        <,            13 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
PUPPYCT,Puppy and cats,/problems/PUPPYCT,medium,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese  and Russian.
 Tuzik is a very brave puppy. But there is still one thing he is afraid of - big black cats. He always tries to avoid them.
 Tuzik's city can be represented as an N x N grid. Each cell of the city can either contain cats or not. Tuzik knows that K cells of the city are dumps. If a cell is a dump, then each diagonal that contains this cell is full of cats (all cells of this diagonal contain cats). Two cells with corresponding coordinates (i, j) and (x, y) are on one diagonal if either x + y equals i + j or x - y equals i - j.
You are given integers N and coordinates of K dumps. Please find the number of cells which are free of cats.
Input
The first line of the input contains an integer T, denoting the number of test cases. Each test case starts with a line containing space-separated integers N and K. Each of the following K lines contain two space-separated integers xi and yi - coordinates of each dump. All the dumps are pairwise different.
Output
For each test case, output a single line containing one integer - number of cells that are free of cats.
Constraints

1 ≤ T ≤ 10
1 ≤ N ≤ 106
0 ≤ K ≤ 105
1 ≤ xi, yi ≤ N
Subtask #1 [22 points]: 1 ≤ N ≤ 500, 0 ≤ K ≤ 104
Subtask #2 [24 points]: 1 ≤ N ≤ 1000, 0 ≤ K ≤ 105
Subtask #3 [23 points]: 1 ≤ N ≤ 106, 0 ≤ K  ≤ 1
Subtask #4 [31 points]: no additional constraints

Example
Input:
1
3 2 
1 2
3 2 

Output:
5
Sample explanation
We have cells (2, 1) (2, 3) on the same diagonals with (1, 2) or (3, 2). Thus 4 cells are occupied by cats and 5 are free of cats. ",pavel1996,zedthirtyeight,http://discuss.codechef.com/problems/PUPPYCT,"['pavel1996', 'ltime26']",            20-07-2015</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
COURSE,Obstacle Course,/problems/COURSE,easy,"
All submissions for this problem are available.
A number of traffic cones have been placed on a circular racetrack to form
an obstacle course.  You are asked to determine the largest sized car that can
navigate the course.  For simplicity, the cones are assumed to have zero width
and the car is perfectly circular and infinitely maneuverable.  The track itself
is the area between 2 concentric circles.
Formally, the course can be navigated by a car of radius c if there exists a
closed loop around the center of the track which lies between the circles forming the track, and
every point on the loop is at least c distance away from each cone and each
boundary of the track.
Input:
Input begins with an integer T (about 25), the number of test cases.
Each test case begins with 2 integers r and R (1<=r<R<=25000).  The racetrack is
the area between the circles centered at (0,0) with radii r and R.
The next line of input contains an integer N (0<=N<=500), the number of cones.
N lines follow, each containing the coordinates of a cone.  The coordinates are
integers, and are guaranteed to lie within the track, and be distinct.
Cases are separated by a blank line.
Output:
For each input, output on a single line the diameter of the largest car that
can navigate the course, rounded to 3 decimal places.
Sample input:
1

5 10
3
6 0
5 7
-2 -7Sample output:
2.720Explanation:
The image below shows the course corresponding to the sample input.  The black circles represent the boundaries of the racetrack, the small dots the cones, and the filled red circle the car.  Also shown is one possible path of the car through the course.

",pieguy,innocentboy,http://discuss.codechef.com/problems/COURSE,"['pieguy', 'aug10', 'easy']",            9-06-2010</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TEXT, WSPC</td>        <"
STADIUM,The Sports Stadium,/problems/STADIUM,medium,"
All submissions for this problem are available.

The bustling town of Siruseri has just one sports stadium. There
are a number of schools, colleges, sports associations, etc. that
use this stadium as the venue for their sports events. 
 Anyone interested in using the stadium has to apply to the Manager
of the stadium indicating both the starting date (a positive integer
S) and the length of the sporting event in days (a positive integer D)
they plan to organise.  Since these requests could overlap it may not
be possible to satisfy everyone.  

It is the job of the Manager to decide who gets to use the
stadium and who does not. The Manager, being a genial man, would like
to keep as many organisations happy as possible and hence would
like to allocate the stadium so that maximum number of events are held.


Suppose, for example, the Manager receives the following 4 requests:



Event No.
Start Date
Length


1
2
5


2
9
7


3
15
6


4
9
3



He would allot the stadium to events 1, 4 and 3. Event 1 begins on day 2
and ends on day 6, event 4 begins on day 9 and ends on day 11 and event
3 begins on day 15 and ends on day 20. You can verify that it is not possible
to schedule all the 4 events (since events 2 and 3 overlap  and only one of
them can get to use the stadium).


Your task is to help the manager find the best possible allotment (i.e.,
the maximum number of events that can use the stadium).

Input format

The first line of the input will contain a single integer N (N ≤ 100000)
indicating the number of events for which the Manager has received a request.
Lines 2,3,...,N+1  describe the requirements of the N events.
Line i+1 contains two integer Si and Di indicating the starting date
and the duration of event i. You may assume that 1 ≤ Si ≤ 1000000 and
1 ≤ Di ≤ 1000.
Output format

Your output must consist of a single line containing a single integer M,
indicating the maximum possible number of events that can use the stadium.

Example:
Sample input:

4
2 5
9 7
15 6
9 3
Sample output:

3

 ",admin,,,['admin'],            28-07-2009</td>        <,            2 - 3 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TEXT, WSPC</td>        <"
FARASA,Furik and Rubik and Sub Array,/problems/FARASA,hard,"
All submissions for this problem are available.
Furik and Rubik are playing the game Sub array. This game is played over an array of integers, consisting of N elements.

In this game, Furik decides an integer that is equal to sum of some sub-array of this array and Rubik wants to guess this number.

But, since Rubik is a busy man, he wants to know how many times in the worst case he will have to try to guess this number. You may assume he acts optimally, i.e. he doesn't call the same number twice, and calls only those numbers, that might have been decided by Furik, meaning, the sum of some or the other sub-array.

Let's call the array b, sub-array of the array a, if there are numbers l and r such, that b1 = al AND b2 = al+1 AND ... b|b| = ar, where |b| is the length of the array b.

Input

The first line contains the positive integer N. The second line contains N positive integers, which are the elements of the array.
Output

Output a single line containing the answer to the problem.
Constraints

Test Files with Time Limit set to 2 seconds
1 ≤ N * S ≤ 1010, where S is the sum of the elements in the array.
Test Files with Time Limit set to 4 seconds
1 ≤ N * S ≤ 4 * 1010

Sample

Input
3
1 2 3

Output
4

Input
9
6 1 7 3 7 1 8 5 7

Output
28

Explanation
Test Case 1: Furik can decide one of the following numbers: 1, 2, 3, 5, 6. For example, let us assume Furik has decided 3. In the worst case, Rubik may call out 4 numbers, since there are only 5 such numbers. ",sereja,gamabunta,http://discuss.codechef.com/problems/FARASA,"['sereja', 'fft', 'july13', 'maths', 'hard']",            7-05-2013</td>        <,            2 - 4 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
CHEFARC,Chef and Robots Competition,/problems/CHEFARC,easy,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.
In Chefland, there is a monthly robots competition. In the competition, a grid table of N rows and M columns will be used to place robots. A cell at row i and column j in the table is called cell (i, j). To join this competition, each player will bring two robots to compete and each robot will be placed at a cell in the grid table. Both robots will move at the same time from one cell to another until they meet at the same cell in the table. Of course they can not move outside the table. Each robot has a movable range. If a robot has movable range K, then in a single move, it can move from cell (x, y) to cell (i, j) provided (|i-x| + |j-y| <= K). However, there are some cells in the table that the robots can not stand at, and because of that, they can not move to these cells. The two robots with the minimum number of moves to be at the same cell will win the competition.


Chef plans to join the competition and has two robots with the movable range K1 and K2, respectively. Chef does not know which cells in the table will be used to placed his 2 robots, but he knows that there are 2 cells (1, 1) and (1, M) that robots always can stand at. Therefore, he assumes that the first robot is at cell (1, 1) and the other is at cell (1, M). Chef wants you to help him to find the minimum number of moves that his two robots needed to be at the same cell and promises to give you a gift if he wins the competition.

Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows.

 The first line of each test case contains 4 space-separated integers N M K1 K2 denoting the number of rows and columns in the table and the movable ranges of the first and second robot of Chef.
 The next N lines, each line contains M space-separated numbers either 0 or 1 denoting whether the robots can move to this cell or not (0 means robots can move to this cell, 1 otherwise). It makes sure that values in cell (1, 1) and cell (1, M) are 0.

Output
For each test case, output a single line containing the minimum number of moves that Chef’s 2 robots needed to be at the same cell. If they can not be at the same cell, print -1.
Constraints

1 ≤ T ≤ 10
1 ≤ N, M ≤ 100
0 ≤ K1, K2 ≤ 10

 Subtasks 
 Subtask #1 : (25 points) 

 K1 = K2 = 1 

 Subtask # 2 : (75 points) 

Original Constraints

Example
Input:
2
4 4 1 1
0 1 1 0
0 1 1 0
0 1 1 0
0 0 0 0
4 4 1 1
0 1 1 0
0 1 1 0
0 1 1 0
1 0 0 1

Output:
5
-1
Explanation
Example case 1. Robot 1 can move (1, 1) -> (2, 1) -> (3, 1) -> (4, 1) -> (4, 2) -> (4, 3), and robot 2 can move (1, 4) -> (2, 4) -> (3, 4) -> (4, 4) -> (4, 3) -> (4, 3), they meet at cell (4, 3) after 5 moves.
Example case 2. Because the movable range of both robots is 1, robot 1 can not move from (3, 1) to (4, 2), and robot 2 can not move from (3, 4) to (4, 3. Hence, they can not meet each other. ",lexman,mugurelionut,http://discuss.codechef.com/problems/CHEFARC,"['july16', 'bfs', 'lexman', 'easy']",            29-05-2016</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
KINGCON,Kingdom Unity,/problems/KINGCON,easy,"
All submissions for this problem are available.
The Kingdom of Bytelandia has N cities, numbered from 0 to N−1. There are M bidirectional roads, each of which connects two different cities. The road network in the kingdom is such that people of any city can reach any other city they desired through the road network. This is called having unity in the kingdom. Bytelandia is very famous for its unity. The people are united and familiar with each other. The king of Bytelandia is also very proud of this fact.
But, some people just want to watch the world burn. Dr. Bobo is one of such people. He is very wicked. He doesn't like unity of Bytelandia. He has a chemical missile to spread diseases. He plans to attack one of the cities of Bytelandia.
The king's secret intelligence service became aware of Dr. Bobo's wicked plan and informed the king about it. The king could not catch Dr. Bobo hence he is a genius. So the king planned the rescue mission with his own defense system. The scientists of Bytelandia have made one kind of shields which can protect an entire city from the attack of Dr. Bobo's missile. The shield will not affect the road network, in the sense that a citizen can still travel on the roads connected to a protected city. But the shields are very very expensive to build.
The king also has a team of brilliant doctors, who have already discovered the cure for the disease which the missile will spread. But they can only handle one city at a time. The king has planned his rescue mission as follows:
If a shielded city is attacked by the missile, then no one is harmed. If a city without a shield is attacked, all the roads connected to that city will be closed to prevent the disease from spreading to the other cities. Then, the doctors will begin to cure each citizen of that city and as a precautionary measure, none of those citizens are allowed to leave the city until each and every of them is cured. It will take a very long time to cure an entire city.
Taking a long time to cure an attacked city will affect the road network of the kingdom. The roads which are closed due to the attack can not be used until the affected city is entirely cured. This would have an adverse affect on the kingdom's unity, which the king would never want, especially at the time of crisis because in that case Dr. Bobo would have achieved his evil goal of dividing the people.
The king can make as many shields as he wants but as we know, they are very expensive. So, he would let a city be attacked and then be cured by his doctors rather than pay to plant a shield over a city, as long as it will not affect the unity of the remaining kingdom. That is, city x must be protected by the shield if there exists a pair of cities (except city x) such that people cannot come and go between these cities when the roads connected city x are closed. He doesn't want to make unnecessary shields. He wants you to find the minimum amount of money that is needed to make the shields to prevent Mr. Bobo from succeeding in his evil plan.
Input
First line of input contains an integer T, denoting the number of test cases. Then T test cases follow. First line of each test case contains 3 space-separated integers N, M, and K, denoting number of cities, the number of bidirectional roads, and the cost to make one shield, respectively. Then M lines follow each containing 2 space-separated integers A and B, denoting that there is a road between city A and city B.
Output
For each test case, output the minimum amount of money required to fulfill the king's requirements and protect unity of his kingdom.
Constraints

1 ≤ T ≤ 1500
2 ≤ N ≤ 3000
N−1 ≤ M ≤ N*(N−1)/2)
0 ≤ A, B ≤ N−1, A ≠ B
1 ≤ K ≤ 1000
The road network has unity
No two roads connect the same pair of cities
The sum of N in one test file does not exceed 3000

Example

Input:
1
7 6 5
0 1
1 2
3 4
2 4
2 6
5 2

Output:
15
Explanation

In the sample, the cities 1, 2, and 4 must be protected by the shields.

",jay_adm,laycurse,http://discuss.codechef.com/problems/KINGCON,"['april13', 'dfs', 'graph', 'jay_adm', 'easy']",            26-01-2013</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
B3,Battleship V,/problems/B3,medium,"
All submissions for this problem are available.
This problem was part of the CodeChef April Challenge.  All user submissions for this contest problem are publicly available here.
In the game of ""BattleShip V"", you control a cannon which is attacking a large enemy battleship, armed with many guns. Your goal is to destroy as many of the guns as possible.
The battle field is a 2D Cartesian grid, where your cannon is located at the origin.
The enemy battleship is a horizontal line segment located from the coordinates (X1 , Y) to (X2, Y).
There are exactly (X2 - X1 + 1) guns on the ship, located at the integer points (X1, Y), (X1+1, Y), ..., (X2, Y).


However, the problem is, you cannot always fire at a gun. There are supernatural rocks located at all points of the battlefield whose X and Y coordinates are both integers. In order to fire successfully at an enemy's gun, the line connecting your cannon and that gun must not
go through any rocks.


How many guns you successfully destroy?

Input

The first line contains t, the number of test cases (about 100). Then t test cases follow.


Each test case consists of one line containing three numbers Y, and X1, X2 (2100000000 > ≤ Y ≤ 2100000000, -2100000000 ≤ X 1 ≤ X2 ≤ 2100000000).

Output

For each test case, output the number of the enemy battleship's guns that your cannon can destroy.

Example

Input
1
2 -2 1


Output
2
 ",admin,,,['admin'],            15-03-2009</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TEXT, WSPC</td>        <"
